Distance,Z_fondale,Z_AUV
1547.01841709022,-24.3249998092651,-21.3249998092651
1553.80358558623,-24.3249998092651,-21.3249998092651
1560.58875408224,-24.3249998092651,-21.3249998092651
1567.37392257825,-24.3249998092651,-21.3249998092651
1574.15909107426,-24.3249998092651,-21.3249998092651
1580.94425957027,-24.3249998092651,-21.3249998092651
1587.72942806628,-24.3249998092651,-21.3249998092651
1594.51459656229,-24.3249998092651,-21.3249998092651
1601.2997650583,-24.3249998092651,-21.3249998092651
1608.08493355431,-24.3249998092651,-21.3249998092651
1614.87010205032,-24.3249998092651,-21.3249998092651
1621.65527054633,-24.3249998092651,-21.3249998092651
1628.44043904234,-24.3249998092651,-21.3249998092651
1635.22560753835,-24.3249998092651,-21.3249998092651
1642.01077603436,-24.3249998092651,-21.3249998092651
1648.79594453037,-24.3249998092651,-21.3249998092651
1655.58111302638,-24.3249998092651,-21.3249998092651
1662.36628152239,-24.3249998092651,-21.3249998092651
1669.1514500184,-24.3249998092651,-21.3249998092651
1675.93661851441,-24.3249998092651,-21.3249998092651
1682.72178701042,-24.3249998092651,-21.3249998092651
1689.50695550643,-24.3249998092651,-21.3249998092651
1696.29212400244,-24.3249998092651,-21.3249998092651
1703.07729249845,-24.3249998092651,-21.3249998092651
1709.86246099446,-24.3249998092651,-21.3249998092651
1716.64762949047,-24.3249998092651,-21.3249998092651
1723.43279798648,-24.3249998092651,-21.3249998092651
1730.21796648249,-24.3249998092651,-21.3249998092651
1737.0031349785,-24.3249998092651,-21.3249998092651
1743.78830347451,-24.3249998092651,-21.3249998092651
1750.57347197052,-24.3249998092651,-21.3249998092651
1757.35864046652,-24.3249998092651,-21.3249998092651
1764.14380896254,-24.3249998092651,-21.3249998092651
1770.92897745854,-24.3249998092651,-21.3249998092651
1777.71414595455,-24.3249998092651,-21.3249998092651
1784.49931445056,-24.3249998092651,-21.3249998092651
1791.28448294657,-24.3250061322595,-21.3250051820487
1798.06965144258,-24.3253944371259,-21.325335940415
1804.85481993859,-24.3263116141569,-21.3261649912659
1811.6399884346,-24.3276821971074,-21.3274541935267
1818.42515693061,-24.3294607482968,-21.3291592060406
1825.21032542662,-24.3316276940039,-21.3312567330708
1831.99549392263,-24.3341873593488,-21.3337469489135
1838.78066241864,-24.3371684098716,-21.3366542374841
1845.56583091465,-24.3406266680257,-21.3400296966966
1852.35099941066,-24.3446329728853,-21.343941198951
1859.13616790667,-24.3488257840763,-21.3480917354268
1865.92133640268,-24.3530185952673,-21.3522781936325
1872.70650489869,-24.3571965729435,-21.3564574457508
1879.4916733947,-24.3609581652862,-21.3602818034229
1886.27684189071,-24.3641976857718,-21.3636092124264
1893.06201038672,-24.3669881742632,-21.3664803885845
1899.84717888273,-24.3693730145228,-21.3689383147255
1906.63234737874,-24.3713699546193,-21.3710045311628
1913.41751587475,-24.3729728945004,-21.3726770915995
1920.20268437076,-24.3741512637159,-21.3739297271834
1926.98785286677,-24.3748470351049,-21.3747091833481
1933.77302136278,-24.375,-21.3749562964786
1940.55818985879,-24.375,-21.3749934322957
1947.3433583548,-24.375,-21.3749990130145
1954.12852685081,-24.375,-21.3749998516772
1960.91369534682,-24.375,-21.3749999777103
1967.69886384283,-24.375,-21.3749999966503
1974.48403233884,-24.375,-21.3749999994966
1981.26920083485,-24.375,-21.3749999999244
1988.05436933086,-24.375,-21.3749999999886
1994.83953782687,-24.375,-21.3749999999983
2001.62470632288,-24.375,-21.3749999999998
2008.40987481889,-24.375,-21.375
2015.1950433149,-24.375,-21.375
2021.98021181091,-24.375,-21.375
2028.76538030692,-24.375,-21.375
2035.55054880292,-24.375,-21.375
2042.33571729893,-24.375,-21.375
2049.12088579494,-24.375,-21.375
2055.90605429095,-24.375,-21.375
2062.69122278696,-24.375,-21.375
2069.47639128297,-24.375,-21.375
2076.26155977898,-24.375,-21.375
2083.04672827499,-24.375,-21.375
2089.831896771,-24.375,-21.375
2096.61706526701,-24.375,-21.375
2103.40223376302,-24.375,-21.375
2110.18740225903,-24.375,-21.375
2116.97257075504,-24.375,-21.375
2123.75773925105,-24.375,-21.375
2130.54290774706,-24.375,-21.375
2137.32807624307,-24.375,-21.375
2144.11324473908,-24.375,-21.375
2150.89841323509,-24.375,-21.375
2157.6835817311,-24.375,-21.375
2164.46875022711,-24.375,-21.375
2171.25391872312,-24.375,-21.375
2178.03908721913,-24.375,-21.375
2184.82425571514,-24.375,-21.375
2191.60942421115,-24.375,-21.375
2198.39459270716,-24.375,-21.375
2205.17976120317,-24.375,-21.375
2211.96492969918,-24.375,-21.375
2218.75009819519,-24.375,-21.375
2225.5352666912,-24.375,-21.375
2232.32043518721,-24.375,-21.375
2239.10560368322,-24.375,-21.375
2245.89077217923,-24.375,-21.375
2252.67594067524,-24.375,-21.375
2259.46110917125,-24.375,-21.375
2266.24627766726,-24.375,-21.375
2273.03144616327,-24.375,-21.375
2279.81661465928,-24.3751089306941,-21.3750925607411
2286.60178315529,-24.3757460056236,-21.3756478068367
2293.3869516513,-24.3768740419631,-21.3766897650562
2300.1721201473,-24.3784316766981,-21.3781699046427
2306.95728864331,-24.3803854707483,-21.3800525185598
2313.74245713932,-24.3827266737677,-21.3823248054475
